測驗時間,題號,情境,反應時間(ms),是否正確
2026-05-22 21:38:44,1,中性,491,是
2026-05-22 21:38:44,2,一致,520,是
2026-05-22 21:38:44,3,一致,678,是
2026-05-22 21:38:44,4,不一致,550,是
2026-05-22 21:38:44,5,中性,374,是
2026-05-22 21:38:44,6,中性,582,是
2026-05-22 21:38:44,7,中性,540,是
2026-05-22 21:38:44,8,一致,453,是
2026-05-22 21:38:44,9,一致,402,是
2026-05-22 21:38:44,10,中性,541,是
2026-05-22 21:38:44,11,不一致,507,是
2026-05-22 21:38:44,12,中性,474,是
2026-05-22 21:38:44,13,不一致,598,是
2026-05-22 21:38:44,14,不一致,462,是
2026-05-22 21:38:44,15,一致,503,是
2026-05-22 21:38:44,16,中性,410,是
2026-05-22 21:38:44,17,一致,518,是
2026-05-22 21:38:44,18,一致,467,是
2026-05-22 21:38:44,19,不一致,498,是
2026-05-22 21:38:44,20,中性,343,是
2026-05-22 21:38:44,21,不一致,487,是
2026-05-22 21:38:44,22,不一致,493,是
2026-05-22 21:38:44,23,不一致,550,是
2026-05-22 21:38:44,24,一致,457,是
